instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
2003457,7826,364D120123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
902913,3527,364D130522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1568257,6126,364D131022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
822017,3211,364D140422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1292289,5048,364D140722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1459713,5702,364D150922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1833985,7164,364D151222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2100737,8206,364D160223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1182721,4620,364D160622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1729537,6756,364D171122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2010625,7854,364D190123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
917505,3584,364D190522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1388545,5424,364D190822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1591553,6217,364D201022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
838145,3274,364D210422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1304577,5096,364D210722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1472001,5750,364D220922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1874945,7324,364D221222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2115841,8265,364D230223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1228289,4798,364D230622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
755713,2952,364D240322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1775873,6937,364D241122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1403649,5483,364D250822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2028033,7922,364D260123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
940801,3675,364D260522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1629953,6367,364D271022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
848129,3313,364D280422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1325569,5178,364D280722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1512961,5910,364D290922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1934593,7557,364D291222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
792065,3094,364D300322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1258497,4916,364D300622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
269057,1051,396GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
1595393,6232,3IINFOLTD,3I INFOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2316289,9048,3PLAND-BE,3P LAND HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1438977,5621,3RDROCK-IT,,0.0,,0.0,0.05,5200,EQ,NSE,NSE
248321,970,415KL22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
903425,3529,426GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5614337,21931,439MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5616129,21938,445MH22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
242433,947,448GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5637377,22021,449RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5387521,21045,44HR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5431041,21215,452BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659649,22108,452TN22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5700609,22268,454BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5615361,21935,454MH22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5701377,22271,454RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5657857,22101,454TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1782273,6962,456GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
273665,1069,45AS23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5617921,21945,463MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5666049,22133,463TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5541889,21648,468HR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1504257,5876,469ML23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1788417,6986,473KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1724417,6736,474KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5540097,21641,475HR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5617409,21943,476MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
741121,2895,477KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
741889,2898,477MP23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1761793,6882,47KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
72193,282,47KL22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
527873,2062,485KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5646849,22058,489RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5728257,22376,493BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
646913,2527,494MP23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1421825,5554,495ML24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1413889,5523,497AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659137,22106,499TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5611009,21918,503KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736705,22409,505KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5701121,22270,505RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2049,8,507PY23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2817,11,509CG23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4728065,18469,509GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5605889,21898,509KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736449,22408,509TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
274177,1071,512BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
269825,1054,515GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
528129,2063,518KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736193,22407,51BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4857857,18976,522GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
192513,752,524AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1678081,6555,525AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
193281,755,527BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2013185,7864,527GJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
38913,152,528BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
309761,1210,532AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
466177,1821,532AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
309505,1209,532CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
435201,1700,532RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
248577,971,535CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
387329,1513,535RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
213761,835,538CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5643521,22045,538RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
779009,3043,539GJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5718785,22339,539RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
514817,2011,539RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
308993,1207,53BR25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
72449,283,53RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5716737,22331,540CG24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5717505,22334,541AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
434433,1697,541GA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
681473,2662,542RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
779777,3046,543BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5308417,20736,544AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5606401,21900,544KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5661697,22116,544TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5191937,20281,545AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5637633,22022,545RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
515073,2012,546PY25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659905,22109,546TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
648449,2533,547AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5645057,22051,547RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5708801,22300,549RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
150273,587,54BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
696833,2722,54KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5746177,22446,552AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
649217,2536,552MP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5610753,21917,553KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
819713,3202,563GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5608193,21907,565KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5645313,22052,565RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1167873,4562,565TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
39681,155,568MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5542145,21649,56HR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
3073,12,56MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
106497,416,56RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
482817,1886,572BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1713921,6695,574GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
72961,285,575AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5613569,21928,575KA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
214017,836,575PY26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5646081,22055,575RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5658881,22105,575TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5661953,22117,576TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1999105,7809,577GJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2050049,8008,577GJ25A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5706753,22292,577GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5606913,21902,577KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4827393,18857,579GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
73729,288,579KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
16129,63,57BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5613313,21927,57KA26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
20481,80,57MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
495617,1936,582BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
466945,1824,582RJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5681409,22193,582TS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
343297,1341,585GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
1759233,6872,587GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
435969,1703,588CG26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
780545,3049,588GJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5298433,20697,589AP25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5735425,22404,589RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2050305,8009,58MH25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5643777,22046,58RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5609217,21911,591KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
370945,1449,593CG26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5632257,22001,593OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
682241,2665,593RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
108289,423,594CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
817665,3194,594RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5662977,22121,595TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1505281,5880,596PY26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
483073,1887,597CG27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1758977,6871,597GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
1414401,5525,599MP26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5679105,22184,59TS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
1757697,6866,601GS2028-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5633025,22004,601OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1534465,5994,601RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5649665,22069,603RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
107009,418,604AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1801729,7038,604AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1589505,6209,604GJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5735169,22403,604KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
15873,62,605AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1169921,4570,605RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1788673,6987,607RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1613825,6304,609AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5614081,21930,609KA28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5623809,21968,609MP22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
544001,2125,609RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1283073,5012,610GS2031-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5613825,21929,612KA27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1758209,6868,613GS2028-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
900097,3516,613RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5644033,22047,616RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1758721,6870,617GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
437505,1709,617KL27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5681665,22194,617TS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
782849,3058,618GJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
